Brand,Size,Flavor,Rating,Price,CALORIES,TOTAL FAT,CHOLESTEROL,SODIUM,TOTAL CARBOHYDRATE,PROTEIN,CALCIUM,POTASSIUM,DIETARY FIBER,IRON,TOTAL SUGARS,VITAMIN D,VITAMIN D 0MCG,PHOSPHORUS,MAGNESIUM,VITAMIN C (AS ASCORBIC ACID),VITAMIN D (AS CHOLECALCIFEROL),NIACIN (AS NIACINAMIDE),VITAMIN B6 (AS PYRIDOXINE HYDROCHLORIDE),VITAMIN B12 (AS CYANOCOBALAMIN),NIACIN,BIOTIN,FOLATE
Optimum Nutrition,1 Lb.,Delicious Strawberry,9.3,$19.99,120,1.5 g,40 mg,50 mg,3 g,24 g,140 mg,150 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optimum Nutrition,1 Lb.,Double Rich Chocolate,9.3,$19.99,120,1.5 g,35 mg,50 mg,3 g,24 g,130 mg,210 mg,1 g,.7 mg,0,0,0,0,0,0,0,0,0,0,0,0,0
Optimum Nutrition,1 Lb.,Vanilla Ice Cream,9.3,$19.99,120,1 g,35 mg,105 mg,4 g,24 g,130 mg,150 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optimum Nutrition,2 Lbs.,Banana Cream,9.3,$29.99,120,1 g,40 mg,100 mg,4 g,24 g,130 mg,160 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optimum Nutrition,2 Lbs.,Birthday Cake,9.3,$29.99,130,1.5 g,35 mg,150 mg,5 g,24 g,110 mg,150 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optimum Nutrition,2 Lbs.,Cake Donut,9.3,$29.99,120,1 g,40 mg,75 mg,3 g,24 g,140 mg,160 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optimum Nutrition,2 Lbs.,Chocolate Hazelnut,9.3,$29.99,130,1.5 g,35 mg,160 mg,4 g,24 g,140 mg,240 mg,0,.7 mg,0,0,0,0,0,0,0,0,0,0,0,0,0
Optimum Nutrition,2 Lbs.,Chocolate Malt,9.3,$29.99,120,1 g,35 mg,105 mg,3 g,24 g,130 mg,220 mg,0,.7 mg,0,0,0,0,0,0,0,0,0,0,0,0,0
Optimum Nutrition,2 Lbs.,Chocolate Mint,9.3,$29.99,120,1.5 g,35 mg,90 mg,3 g,24 g,140 mg,210 mg,0,.6 mg,0,0,0,0,0,0,0,0,0,0,0,0,0
Optimum Nutrition,2 Lbs.,Cookies & Cream,9.3,$29.99,120,1 g,40 mg,110 mg,3 g,24 g,130 mg,160 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optimum Nutrition,2 Lbs.,Delicious Strawberry,9.3,$29.99,120,1.5 g,40 mg,50 mg,3 g,24 g,140 mg,150 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optimum Nutrition,2 Lbs.,Double Rich Chocolate,9.3,$29.99,120,1.5 g,35 mg,50 mg,3 g,24 g,130 mg,210 mg,0,.7 mg,0,0,0,0,0,0,0,0,0,0,0,0,0
Optimum Nutrition,2 Lbs.,Extreme Milk Chocolate,9.3,$29.99,120,1.5 g,40 mg,100 mg,3 g,24 g,140 mg,220 mg,1 g,.7 mg,0,0,0,0,0,0,0,0,0,0,0,0,0
